"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"	"Absolute (rad/s)"
3.399327880E-1	2.612499986E-3	-8.249999955E-4	9.624999948E-4	2.903822896E-3
3.420783280E-1	7.562499959E-3	-8.249999955E-4	-2.749999985E-4	7.612335753E-3
3.442259420E-1	1.237499993E-2	-8.249999955E-4	-2.749999985E-4	1.240551786E-2
3.463712420E-1	1.608750038E-2	4.124999978E-4	9.624999948E-4	1.612154555E-2
3.485188560E-1	2.089999989E-2	-8.249999955E-4	-2.749999985E-4	2.091808417E-2
3.506643960E-1	2.213750035E-2	-8.249999955E-4	-2.749999985E-4	2.215457451E-2
3.528118560E-1	2.584999986E-2	-8.249999955E-4	2.199999988E-3	2.595656213E-2
3.549573960E-1	2.956249937E-2	-8.249999955E-4	9.624999948E-4	2.958966712E-2
3.571050530E-1	3.079999983E-2	-4.537499975E-3	9.624999948E-4	3.114731613E-2
3.592503620E-1	3.437500075E-2	-3.299999982E-3	2.199999988E-3	3.460304432E-2
3.613979760E-1	3.561250120E-2	-7.012499962E-3	2.199999988E-3	3.636296739E-2
3.635435160E-1	3.932499886E-2	-4.537499975E-3	2.199999988E-3	3.964699788E-2
3.656909760E-1	3.932499886E-2	-4.537499975E-3	2.199999988E-3	3.964699788E-2
3.678364770E-1	3.808749840E-2	-3.299999982E-3	9.624999948E-4	3.824230563E-2
3.699840900E-1	3.808749840E-2	-2.062499989E-3	9.624999948E-4	3.815544321E-2
3.721294000E-1	3.808749840E-2	-2.062499989E-3	9.624999948E-4	3.815544321E-2
3.742770140E-1	3.808749840E-2	-3.299999982E-3	2.199999988E-3	3.829343983E-2
3.764225540E-1	3.684999794E-2	-8.249999955E-4	9.624999948E-4	3.687179653E-2
3.785700050E-1	3.561250120E-2	-3.299999982E-3	9.624999948E-4	3.577801906E-2
3.807155450E-1	3.313750029E-2	-2.062499989E-3	2.199999988E-3	3.327443210E-2
3.828631580E-1	2.956249937E-2	-3.299999982E-3	2.199999988E-3	2.982735941E-2
3.850084680E-1	2.584999986E-2	-8.249999955E-4	2.199999988E-3	2.595656213E-2
3.871561580E-1	2.337500080E-2	4.124999978E-4	9.624999948E-4	2.339844493E-2
3.893016360E-1	2.089999989E-2	-2.062499989E-3	9.624999948E-4	2.102356553E-2
3.914490960E-1	1.732499897E-2	-3.299999982E-3	9.624999948E-4	1.766272900E-2
3.935946360E-1	1.237499993E-2	-8.249999955E-4	2.199999988E-3	1.259608067E-2
3.957422490E-1	9.899999946E-3	4.124999978E-4	9.624999948E-4	9.955227844E-3
3.978875590E-1	6.324999966E-3	1.512499992E-3	9.624999948E-4	6.574168163E-3
4.000352780E-1	2.612499986E-3	-8.249999955E-4	9.624999948E-4	2.903822896E-3
4.021807420E-1	1.374999993E-4	1.512499992E-3	-2.749999985E-4	1.543433664E-3
4.043282010E-1	-5.912499968E-3	4.124999978E-4	-2.749999985E-4	5.933248446E-3
4.064737420E-1	-9.624999948E-3	1.512499992E-3	-2.749999985E-4	9.746994676E-3
4.086213550E-1	-1.086249948E-2	4.124999978E-4	-2.749999985E-4	1.087380688E-2
4.107666220E-1	-1.691249944E-2	-8.249999955E-4	-2.749999985E-4	1.693484241E-2
4.129143120E-1	-1.938750036E-2	4.124999978E-4	9.624999948E-4	1.941575991E-2
